"scenario","replicate","total_est","total_se","direct_est","direct_se","apparent_est","apparent_se","total_true","direct_true","apparent_true","residual_true","hidden_true"
"Direct only",13,0.0410203062246249,0.00393792143937093,0.0416014488952129,0.00430000517943422,-0.000581142670587997,0.00139843837399342,0.04,0.04,0,0,0
"Direct only",14,0.0435827282003376,0.00421535298557058,0.0410293042867598,0.00505176204657083,0.00255342391357784,0.00296119803063088,0.04,0.04,0,0,0
"Direct only",15,0.0347603451162629,0.00470693348079762,0.0311308182294563,0.00587841604677934,0.00362952688680661,0.0027938125689561,0.04,0.04,0,0,0
"Direct only",16,0.0474974746509155,0.00453033509197799,0.0455310620318244,0.00532779288219325,0.00196641261909109,0.00316178651530325,0.04,0.04,0,0,0
"Direct only",17,0.0374159139256922,0.0038074359679839,0.0403003620499619,0.00616369532155158,-0.00288444812426973,0.00391714990271244,0.04,0.04,0,0,0
"Direct only",18,0.0478682200507234,0.00536599174301662,0.0506222874575385,0.00486321194734325,-0.00275406740681505,0.00264011005607309,0.04,0.04,0,0,0
"Direct only",19,0.0426841201952215,0.00533964148740616,0.039639135457517,0.00610021759901574,0.00304498473770447,0.00244474460214727,0.04,0.04,0,0,0
"Direct only",20,0.0391092928696978,0.00543946820846786,0.041960367957054,0.00608434239682581,-0.00285107508735618,0.00307392557741977,0.04,0.04,0,0,0
"Direct only",21,0.0405861315319346,0.00477344284801602,0.0358074864844545,0.00564294945162921,0.00477864504748,0.00281385463122378,0.04,0.04,0,0,0
"Direct only",22,0.0417622178483745,0.00457998720974665,0.0417981473446907,0.00587651131409567,-3.59294963161148e-05,0.00301869456670178,0.04,0.04,0,0,0
"Direct only",23,0.0415117240347628,0.00415731823403397,0.0401655927650874,0.00518777666382922,0.00134613126967539,0.00232818300028246,0.04,0.04,0,0,0
"Direct only",24,0.0343358862993508,0.00444741540488091,0.0339234766175013,0.0050839052216962,0.000412409681849474,0.00284281413352238,0.04,0.04,0,0,0
"Direct only",25,0.0428985398942962,0.00494036888089023,0.0410348813469805,0.00592319596978422,0.00186365854731564,0.00271789006335197,0.04,0.04,0,0,0
"Direct only",26,0.0350906413253449,0.00429535553681987,0.0342382900941435,0.00440930827972281,0.000852351231201365,0.00256370713761285,0.04,0.04,0,0,0
"Direct only",27,0.0437283992556731,0.00482967453558059,0.0444939061021586,0.00474241732120942,-0.000765506846485447,0.00188508084759659,0.04,0.04,0,0,0
"Direct only",28,0.0464782333986517,0.00487228092066397,0.0476954775900236,0.00635012226742963,-0.00121724419137188,0.0035836032528741,0.04,0.04,0,0,0
"Direct only",29,0.0317864197220874,0.00497683157414423,0.0345688343884986,0.00493409527372501,-0.00278241466641124,0.00289611258208986,0.04,0.04,0,0,0
"Direct only",30,0.0383293065483197,0.00447190991093899,0.0367594294859616,0.00483430859739623,0.00156987706235799,0.00225330871598998,0.04,0.04,0,0,0
"Direct only",31,0.0400908238313889,0.00485314017148093,0.0372689979363071,0.00591649819350266,0.00282182589508181,0.00257472095082271,0.04,0.04,0,0,0
"Direct only",32,0.039748180400116,0.00385538149510604,0.0431539648028048,0.00365476812134608,-0.00340578440268883,0.00254111389334883,0.04,0.04,0,0,0
"Direct only",33,0.0380124549773517,0.00451765604597095,0.0384281807977581,0.00531875884568979,-0.000415725820406423,0.00264985070783735,0.04,0.04,0,0,0
"Direct only",34,0.0432306458097606,0.00476164870250609,0.0452152522369209,0.00490103589573202,-0.00198460642716027,0.00283538238340388,0.04,0.04,0,0,0
"Direct only",35,0.0425434585107656,0.00566858322310482,0.0414144127780541,0.00622718320699763,0.00112904573271142,0.00269254267984971,0.04,0.04,0,0,0
"Direct only",36,0.0341711943235371,0.00406262048065271,0.033604221009014,0.00469433480233652,0.000566973314523153,0.00240638276277268,0.04,0.04,0,0,0
"Direct only",37,0.0412740113219216,0.00488887438336869,0.0402134621353542,0.0057149816503198,0.00106054918656746,0.00297601381038844,0.04,0.04,0,0,0
"Direct only",38,0.0348263991850226,0.00493166893660855,0.0322557054217748,0.00549080936184966,0.00257069376324785,0.00256118322916187,0.04,0.04,0,0,0
